No	カードパック	職業	種類	カード名1		カード名2	カード名3	コスト	攻撃力	体力	系統	画像	レア度	シンクロ	熟練度	ダンジョン	おうえん	スキルリンク	占い	パワフルバッジ	BET	絶好調	必殺技	メタルボディ
217	00ベーシック	武闘家	ユニット	【かくとうパンサー】	【かくとうパンサー	かくとうパンサー	かくとうパンサー	1	2	1			0											
218	10_破壊と創造	共通	ユニット	【かくれんぼう】	【かくれんぼう	かくれんぼう	かくれんぼう	2	2	2			2											
219	01スタンダード	共通	ユニット	【かげのきし】	【かげのきし	かげのきし	かげのきし	5	5	5	ゾンビ		0											
220	04もりもり	戦士	ユニット	【ガスト】	【ガスト	ガスト	ガスト	3	2	4			1							a				
221	08_カジノ	武闘家	特技	【かすみがくれ】	【かすみがくれ	かすみがくれ	かすみがくれ	3					0											
222	01スタンダード	共通	ユニット	【ガチャコッコ】	【ガチャコッコ	ガチャコッコ	ガチャコッコ	3	0	5	物質		1											
223	08_カジノ	共通	ユニット	【かっちゅうアリ】	【かっちゅうアリ	かっちゅうアリ	かっちゅうアリ	3	1	4			2								a			
224	09_再会と誓い	僧侶	ユニット(トークン)	【ガップリン】	【ガップリン	ガップリン	ガップリン	1	1	1			0											
225	08_カジノ	商人	特技	【かなしばりの巻物】	【かなしばりの巻物	かなしばりの巻物	かなしばりの巻物	2					0											
226	01スタンダード	商人	特技	【かなしばりの杖】	【かなしばりの杖	かなしばりの杖	かなしばりの杖	2					0											
227	01スタンダード	戦士	特技	【かばう】	【かばう	かばう	かばう	1					1											
228	05_勇気の英雄譚	戦士	特技	【かばうの心得】	【かばうの心得	かばうの心得	かばうの心得	2					0											
229	03不死鳥	商人	ユニット	【かぶとこぞう】	【かぶとこぞう	かぶとこぞう	かぶとこぞう	6	4	4			2											
230	01スタンダード	共通	ユニット	【ガボ】	【ガボ	ガボ	ガボ	6	4	3	冒険者		3											
231	09_再会と誓い	共通	ユニット	【かまいたち】	【かまいたち	かまいたち	かまいたち	2	2	2			0											
232	12_そして伝説は	商人	ユニット	【カマエル】	【カマエル	カマエル	カマエル	3	2	5	物質		3											
233	09_再会と誓い	占い師	特技	【かみかぜ】	【かみかぜ	かみかぜ	かみかぜ	2					1				a		a					
234	08_カジノ	共通	ユニット	【かみさま】	【かみさま	かみさま	かみさま	5	3	5			3											
235	01スタンダード	共通	ユニット	【カミュ】	【カミュ	カミュ	カミュ	4	3	4	冒険者		3											
236	01スタンダード	共通	ユニット	【ガメゴン】	【ガメゴン	ガメゴン	ガメゴン	6	3	7	ドラゴン		0											
237	11_英雄たちの凱旋	僧侶	ユニット	【ガメゴンレジェンド】	【ガメゴンレジェンド	ガメゴンレジェンド	ガメゴンレジェンド	7	5	7	ドラゴン		2											
238	13_星降りの決戦	魔法使い	ユニット	【ガメゴンロード】	【ガメゴンロード	ガメゴンロード	ガメゴンロード	5	4	6	ドラゴン		1											
239	00ベーシック	戦士	ユニット	【カメレオンマン】	【カメレオンマン	カメレオンマン	カメレオンマン	1	1	2			0											
240	12_そして伝説は	盗賊	ユニット(トークン)	【ガラクタ】	【ガラクタ	ガラクタ	ガラクタ	1	0	2			0											
241	04もりもり	商人	ユニット	【からくりエッグ】	【からくりエッグ	からくりエッグ	からくりエッグ	3	3	3	物質		1							a				
242	01スタンダード	戦士	ユニット	【からくりしょうぐん】	【からくりしょうぐん	からくりしょうぐん	からくりしょうぐん	6	5	5	物質		2											
243	01スタンダード	共通	ユニット	【からくりだいみょう】	【からくりだいみょう	からくりだいみょう	からくりだいみょう	3	4	2	物質		0											
244	12_そして伝説は	共通	ユニット	【ガルーダ】	【ガルーダ	ガルーダ	ガルーダ	5	4	6			0											
245	05_勇気の英雄譚	商人	ユニット	【かれくさネズミ】	【かれくさネズミ	かれくさネズミ	かれくさネズミ	2	2	1			1											
246	02力の咆哮	僧侶	ユニット	【カロン】	【カロン	カロン	カロン	6	4	5	あくま		2											
247	10_破壊と創造	共通	ユニット	【かわいいモーモン】	【かわいいモーモン	かわいいモーモン	かわいいモーモン	1	1	1	あくま		0											
248	08_カジノ	武闘家	ユニット	【カンダタ】	【カンダタ	カンダタ	カンダタ	4	2	5			3											
249	08_カジノ	武闘家	ユニット	【カンダタこぶん】	【カンダタこぶん	カンダタこぶん	カンダタこぶん	2	3	2	物質		2								a			
250	01スタンダード	武闘家	特技	【きあいため】	【きあいため	きあいため	きあいため	1					0											
251	04もりもり	占い師	ユニット	【キースドラゴン】	【キースドラゴン	キースドラゴン	キースドラゴン	5	4	5	ドラゴン		2						a					
252	03不死鳥	商人	ユニット	【キーファ】	【キーファ	キーファ	キーファ	2	3	2	冒険者		3											
253	01スタンダード	戦士	特技	【ギガスラッシュ】	【ギガスラッシュ	ギガスラッシュ	ギガスラッシュ	3					1											
254	08_カジノ	武闘家	ユニット	【ギガデーモン】	【ギガデーモン	ギガデーモン	ギガデーモン	8	7	6	ドラゴン		2								a			
255	01スタンダード	戦士	特技	【ギガブレイク】	【ギガブレイク	ギガブレイク	ギガブレイク	5					2											
256	01スタンダード	共通	ユニット	【ギガンテス】	【ギガンテス	ギガンテス	ギガンテス	5	3	6	あくま		2											
257	13_星降りの決戦	魔法使い	ユニット	【ギガントドラゴン】	【ギガントドラゴン	ギガントドラゴン	ギガントドラゴン	4	4	4	ドラゴン		1											
258	08_カジノ	戦士	ユニット	【ギズモ】	【ギズモ	ギズモ	ギズモ	2	2	2			2								a			
259	09_再会と誓い	商人	特技	【きせきのきのみ】	【きせきのきのみ	きせきのきのみ	きせきのきのみ	7					1											
260	00ベーシック	戦士	武器	【きせきのつるぎ】	【きせきのつるぎ	きせきのつるぎ	きせきのつるぎ	4	3	2			1											
261	10_破壊と創造	魔剣士	ユニット	【キッシム】	【キッシム	キッシム	キッシム	3	3	2	ゾンビ		2				a							
262	01スタンダード	共通	ユニット	【きとうし】	【きとうし	きとうし	きとうし	4	4	4	あくま		0											
263	13_星降りの決戦	共通	ユニット	【キマイラロード】	【キマイラロード	キマイラロード	キマイラロード	8	5	5			2											
264	01スタンダード	共通	ユニット	【キメラ】	【キメラ	キメラ	キメラ	2	3	2			1											
265	00ベーシック	占い師	ユニット	【きめんどうし】	【きめんどうし	きめんどうし	きめんどうし	2	2	3			1											
266	01スタンダード	僧侶	ユニット	【キャタピラー】	【キャタピラー	キャタピラー	キャタピラー	3	1	5			0											
267	06_小さな希望の	武闘家	武器	【キャットクロー】	【キャットクロー	キャットクロー	キャットクロー	2	1	3			1											
268	01スタンダード	共通	ユニット	【キャットバット】	【キャットバット	キャットバット	キャットバット	3	2	1			1											
269	07_光と闇の	魔法使い	ユニット	【キャプテン・クロウ】	【キャプテン・クロウ	キャプテン・クロウ	キャプテン・クロウ	5	3	4			3				a							
270	12_そして伝説は	武闘家	武器	【キャプテンクロー】	【キャプテンクロー	キャプテンクロー	キャプテンクロー	5	3	2			2											
271	13_星降りの決戦	共通	ユニット(トークン)	【キャラバンの剣士】	【キャラバンの剣士	キャラバンの剣士	キャラバンの剣士	1	1	2	冒険者		2											
272	12_そして伝説は	僧侶	特技	【きゅうしょづき】	【きゅうしょづき	きゅうしょづき	きゅうしょづき	3					1											
273	07_光と闇の	戦士	ユニット	【ギュメイ将軍】	【ギュメイ将軍	ギュメイ将軍	ギュメイ将軍	5	5	6			3											
274	10_破壊と創造	戦士	ユニット	【キラーG】	【キラーG	キラーG	キラーG	2	2	2	物質		2											
275	00ベーシック	共通	ユニット	【キラーアーマー】	【キラーアーマー	キラーアーマー	キラーアーマー	6	6	7	物質		0											
276	04もりもり	武闘家	ユニット	【キラーエイプ】	【キラーエイプ	キラーエイプ	キラーエイプ	4	4	4			1							a				
277	02力の咆哮	占い師	ユニット	【キラーグース】	【キラーグース	キラーグース	キラーグース	2	3	3			2				a							
278	09_再会と誓い	盗賊	ユニット	【キラークラブ】	【キラークラブ	キラークラブ	キラークラブ	2	2	3			0											
279	11_英雄たちの凱旋	商人	ユニット	【キラークリムゾン】	【キラークリムゾン	キラークリムゾン	キラークリムゾン	4	3	5	物質		2											
280	08_カジノ	共通	ユニット	【キラースコップ】	【キラースコップ	キラースコップ	キラースコップ	1	1	2			0								a			
281	01スタンダード	僧侶	ユニット	【キラーデーモン】	【キラーデーモン	キラーデーモン	キラーデーモン	6	6	6	あくま		2											
282	00ベーシック	共通	ユニット	【キラーパンサー】	【キラーパンサー	キラーパンサー	キラーパンサー	4	4	4			1											
283	00ベーシック	武闘家	武器	【キラーピアス】	【キラーピアス	キラーピアス	キラーピアス	4	1	6			1											
284	02力の咆哮	共通	ユニット	【キラーピッケル】	【キラーピッケル	キラーピッケル	キラーピッケル	4	4	4			0											
285	03不死鳥	武闘家	ユニット	【キラーファング】	【キラーファング	キラーファング	キラーファング	4	3	6			2											
286	12_そして伝説は	武闘家	ユニット	【キラーポッド】	【キラーポッド	キラーポッド	キラーポッド	3	2	4	物質		1		a									
